UNIXTime,Data,Time,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,TimeSunRise,TimeSunSet
1483264501,12/31/2016 12:00:00 AM,23:55:01,41,30.34,81,215.56,9,06:57:00,17:54:00
1483264203,12/31/2016 12:00:00 AM,23:50:03,41,30.34,80,215.23,7.87,06:57:00,17:54:00
1483263904,12/31/2016 12:00:00 AM,23:45:04,42,30.34,81,218.28,7.87,06:57:00,17:54:00
1483263601,12/31/2016 12:00:00 AM,23:40:01,41,30.34,82,236.79,5.62,06:57:00,17:54:00
1483263302,12/31/2016 12:00:00 AM,23:35:02,41,30.34,83,238.94,6.75,06:57:00,17:54:00
1483263002,12/31/2016 12:00:00 AM,23:30:02,40,30.34,83,236.93,5.62,06:57:00,17:54:00
1483262701,12/31/2016 12:00:00 AM,23:25:01,40,30.34,83,234.75,6.75,06:57:00,17:54:00
1483262404,12/31/2016 12:00:00 AM,23:20:04,40,30.34,83,229.37,7.87,06:57:00,17:54:00
1483262102,12/31/2016 12:00:00 AM,23:15:02,40,30.34,82,228.08,6.75,06:57:00,17:54:00
1483261802,12/31/2016 12:00:00 AM,23:10:02,41,30.34,82,224.45,5.62,06:57:00,17:54:00
1483261502,12/31/2016 12:00:00 AM,23:05:02,41,30.34,82,236.19,5.62,06:57:00,17:54:00
1483261202,12/31/2016 12:00:00 AM,23:00:02,40,30.34,82,225.89,5.62,06:57:00,17:54:00
1483260901,12/31/2016 12:00:00 AM,22:55:01,40,30.34,82,223.57,6.75,06:57:00,17:54:00
1483260602,12/31/2016 12:00:00 AM,22:50:02,40,30.34,82,226.35,7.87,06:57:00,17:54:00
1483260302,12/31/2016 12:00:00 AM,22:45:02,41,30.34,81,218.78,6.75,06:57:00,17:54:00
1483260001,12/31/2016 12:00:00 AM,22:40:01,41,30.34,80,219.9,7.87,06:57:00,17:54:00
1483259701,12/31/2016 12:00:00 AM,22:35:01,41,30.35,79,218.09,6.75,06:57:00,17:54:00
1483259405,12/31/2016 12:00:00 AM,22:30:05,41,30.35,79,214.12,7.87,06:57:00,17:54:00
1483259101,12/31/2016 12:00:00 AM,22:25:01,41,30.35,79,208.06,10.12,06:57:00,17:54:00
1483258802,12/31/2016 12:00:00 AM,22:20:02,41,30.35,79,206.32,9,06:57:00,17:54:00
1483258502,12/31/2016 12:00:00 AM,22:15:02,41,30.35,79,208.06,9,06:57:00,17:54:00
1483258202,12/31/2016 12:00:00 AM,22:10:02,41,30.35,80,206.51,9,06:57:00,17:54:00
1483257904,12/31/2016 12:00:00 AM,22:05:04,41,30.34,81,207.94,9,06:57:00,17:54:00
1483257604,12/31/2016 12:00:00 AM,22:00:04,41,30.34,81,208.34,10.12,06:57:00,17:54:00
1483257301,12/31/2016 12:00:00 AM,21:55:01,41,30.34,82,214.54,9,06:57:00,17:54:00
1483257002,12/31/2016 12:00:00 AM,21:50:02,41,30.34,84,215.27,6.75,06:57:00,17:54:00
1483256702,12/31/2016 12:00:00 AM,21:45:02,41,30.34,83,218.79,7.87,06:57:00,17:54:00
1483256401,12/31/2016 12:00:00 AM,21:40:01,41,30.34,82,220.11,5.62,06:57:00,17:54:00
1483256103,12/31/2016 12:00:00 AM,21:35:03,42,30.34,82,217.21,6.75,06:57:00,17:54:00
1483255802,12/31/2016 12:00:00 AM,21:30:02,42,30.35,81,224.93,5.62,06:57:00,17:54:00
1483255501,12/31/2016 12:00:00 AM,21:25:01,42,30.35,81,215.15,5.62,06:57:00,17:54:00
1483255207,12/31/2016 12:00:00 AM,21:20:07,42,30.34,81,210.2,6.75,06:57:00,17:54:00
1483254906,12/31/2016 12:00:00 AM,21:15:06,42,30.35,83,210.68,9,06:57:00,17:54:00
1483254601,12/31/2016 12:00:00 AM,21:10:01,42,30.35,86,205.48,9,06:57:00,17:54:00
1483254301,12/31/2016 12:00:00 AM,21:05:01,43,30.34,87,205.77,9,06:57:00,17:54:00
1483254002,12/31/2016 12:00:00 AM,21:00:02,43,30.34,88,209.02,7.87,06:57:00,17:54:00
1483253702,12/31/2016 12:00:00 AM,20:55:02,43,30.34,88,209.95,9,06:57:00,17:54:00
1483253405,12/31/2016 12:00:00 AM,20:50:05,43,30.34,88,207.73,6.75,06:57:00,17:54:00
1483253102,12/31/2016 12:00:00 AM,20:45:02,43,30.34,88,208.55,7.87,06:57:00,17:54:00
1483252803,12/31/2016 12:00:00 AM,20:40:03,43,30.34,88,208.21,6.75,06:57:00,17:54:00
1483252501,12/31/2016 12:00:00 AM,20:35:01,43,30.34,88,209.85,5.62,06:57:00,17:54:00
1483252201,12/31/2016 12:00:00 AM,20:30:01,44,30.34,87,212.7,7.87,06:57:00,17:54:00
1483251905,12/31/2016 12:00:00 AM,20:25:05,44,30.34,86,225.12,6.75,06:57:00,17:54:00
1483251601,12/31/2016 12:00:00 AM,20:20:01,45,30.34,86,240.65,3.37,06:57:00,17:54:00
1483251302,12/31/2016 12:00:00 AM,20:15:02,45,30.34,86,248.66,3.37,06:57:00,17:54:00
1483251002,12/31/2016 12:00:00 AM,20:10:02,45,30.33,86,269.97,2.25,06:57:00,17:54:00
1483250702,12/31/2016 12:00:00 AM,20:05:02,46,30.33,87,270,2.25,06:57:00,17:54:00
1483250406,12/31/2016 12:00:00 AM,20:00:06,46,30.33,87,261.6,3.37,06:57:00,17:54:00
1483250102,12/31/2016 12:00:00 AM,19:55:02,46,30.33,87,286.53,5.62,06:57:00,17:54:00
1483249802,12/31/2016 12:00:00 AM,19:50:02,46,30.33,88,273.44,4.5,06:57:00,17:54:00
1483249502,12/31/2016 12:00:00 AM,19:45:02,46,30.33,89,282.75,6.75,06:57:00,17:54:00
1483249201,12/31/2016 12:00:00 AM,19:40:01,46,30.33,90,299.28,5.62,06:57:00,17:54:00
1483248902,12/31/2016 12:00:00 AM,19:35:02,46,30.33,91,296.6,7.87,06:57:00,17:54:00
1483248602,12/31/2016 12:00:00 AM,19:30:02,46,30.33,94,288.56,7.87,06:57:00,17:54:00
1483248305,12/31/2016 12:00:00 AM,19:25:05,46,30.33,95,297.57,4.5,06:57:00,17:54:00
1483248007,12/31/2016 12:00:00 AM,19:20:07,46,30.33,96,289.3,6.75,06:57:00,17:54:00
1483247701,12/31/2016 12:00:00 AM,19:15:01,46,30.32,97,279.34,5.62,06:57:00,17:54:00
1483247401,12/31/2016 12:00:00 AM,19:10:01,46,30.33,99,271.35,6.75,06:57:00,17:54:00
1483247102,12/31/2016 12:00:00 AM,19:05:02,47,30.32,99,276.29,4.5,06:57:00,17:54:00
1483246802,12/31/2016 12:00:00 AM,19:00:02,47,30.32,99,284.13,5.62,06:57:00,17:54:00
1483246502,12/31/2016 12:00:00 AM,18:55:02,47,30.32,99,280.47,5.62,06:57:00,17:54:00
1483246201,12/31/2016 12:00:00 AM,18:50:01,47,30.32,99,290.96,6.75,06:57:00,17:54:00
1483245902,12/31/2016 12:00:00 AM,18:45:02,47,30.32,98,320.95,6.75,06:57:00,17:54:00
1483245601,12/31/2016 12:00:00 AM,18:40:01,47,30.32,98,320.47,5.62,06:57:00,17:54:00
1483245301,12/31/2016 12:00:00 AM,18:35:01,47,30.32,97,320.52,5.62,06:57:00,17:54:00
1483245005,12/31/2016 12:00:00 AM,18:30:05,47,30.32,97,320.19,5.62,06:57:00,17:54:00
1483244701,12/31/2016 12:00:00 AM,18:25:01,48,30.31,96,322.75,5.62,06:57:00,17:54:00
1483244402,12/31/2016 12:00:00 AM,18:20:02,48,30.31,96,314.62,6.75,06:57:00,17:54:00
1483244104,12/31/2016 12:00:00 AM,18:15:04,48,30.31,96,334.78,7.87,06:57:00,17:54:00
1483243801,12/31/2016 12:00:00 AM,18:10:01,48,30.31,96,337.34,6.75,06:57:00,17:54:00
1483243501,12/31/2016 12:00:00 AM,18:05:01,48,30.31,95,322.1,6.75,06:57:00,17:54:00
1483243202,12/31/2016 12:00:00 AM,18:00:02,48,30.31,95,328.44,6.75,06:57:00,17:54:00
1483242902,12/31/2016 12:00:00 AM,17:55:02,48,30.31,94,328.91,4.5,06:57:00,17:54:00
1483242601,12/31/2016 12:00:00 AM,17:50:01,49,30.31,93,318.28,7.87,06:57:00,17:54:00
1483242302,12/31/2016 12:00:00 AM,17:45:02,49,30.31,92,291.63,5.62,06:57:00,17:54:00
1483242006,12/31/2016 12:00:00 AM,17:40:06,49,30.31,91,299.23,4.5,06:57:00,17:54:00
1483241701,12/31/2016 12:00:00 AM,17:35:01,49,30.3,92,284.04,5.62,06:57:00,17:54:00
1483241402,12/31/2016 12:00:00 AM,17:30:02,49,30.3,91,300.56,6.75,06:57:00,17:54:00
1483241103,12/31/2016 12:00:00 AM,17:25:03,49,30.31,92,315.23,7.87,06:57:00,17:54:00
1483240801,12/31/2016 12:00:00 AM,17:20:01,49,30.31,91,312.58,6.75,06:57:00,17:54:00
1483240502,12/31/2016 12:00:00 AM,17:15:02,49,30.31,90,314.27,5.62,06:57:00,17:54:00
1483240201,12/31/2016 12:00:00 AM,17:10:01,50,30.3,90,328.75,7.87,06:57:00,17:54:00
1483239905,12/31/2016 12:00:00 AM,17:05:05,50,30.3,89,327.67,7.87,06:57:00,17:54:00
1483239601,12/31/2016 12:00:00 AM,17:00:01,50,30.3,88,321.08,7.87,06:57:00,17:54:00
1483239301,12/31/2016 12:00:00 AM,16:55:01,50,30.3,88,309.7,5.62,06:57:00,17:54:00
1483239001,12/31/2016 12:00:00 AM,16:50:01,50,30.3,88,312.42,9,06:57:00,17:54:00
1483238702,12/31/2016 12:00:00 AM,16:45:02,50,30.3,88,325.93,9,06:57:00,17:54:00
1483238404,12/31/2016 12:00:00 AM,16:40:04,50,30.3,87,311.55,7.87,06:57:00,17:54:00
1483238101,12/31/2016 12:00:00 AM,16:35:01,51,30.3,86,339.17,9,06:57:00,17:54:00
1483237808,12/31/2016 12:00:00 AM,16:30:08,51,30.3,84,321.22,5.62,06:57:00,17:54:00
1483237502,12/31/2016 12:00:00 AM,16:25:02,51,30.29,84,321.85,7.87,06:57:00,17:54:00
1483237208,12/31/2016 12:00:00 AM,16:20:08,52,30.29,82,317.26,10.12,06:57:00,17:54:00
1483236904,12/31/2016 12:00:00 AM,16:15:04,52,30.29,79,313.42,10.12,06:57:00,17:54:00
1483236601,12/31/2016 12:00:00 AM,16:10:01,53,30.29,78,323.85,12.37,06:57:00,17:54:00
1483236302,12/31/2016 12:00:00 AM,16:05:02,53,30.29,75,328.3,9,06:57:00,17:54:00
1483236002,12/31/2016 12:00:00 AM,16:00:02,54,30.28,77,328.53,9,06:57:00,17:54:00
1483235701,12/31/2016 12:00:00 AM,15:55:01,54,30.28,72,327.03,12.37,06:57:00,17:54:00
1483235401,12/31/2016 12:00:00 AM,15:50:01,54,30.28,73,320.86,13.5,06:57:00,17:54:00
1483235102,12/31/2016 12:00:00 AM,15:45:02,53,30.28,80,308.14,10.12,06:57:00,17:54:00
1483234802,12/31/2016 12:00:00 AM,15:40:02,53,30.28,82,322.83,10.12,06:57:00,17:54:00
1483234502,12/31/2016 12:00:00 AM,15:35:02,53,30.28,81,301.19,13.5,06:57:00,17:54:00
1483234201,12/31/2016 12:00:00 AM,15:30:01,53,30.28,82,307.34,14.62,06:57:00,17:54:00
1483233902,12/31/2016 12:00:00 AM,15:25:02,53,30.29,83,332.81,12.37,06:57:00,17:54:00
1483233603,12/31/2016 12:00:00 AM,15:20:03,53,30.28,83,317.73,12.37,06:57:00,17:54:00
1483233305,12/31/2016 12:00:00 AM,15:15:05,52,30.28,84,297.87,16.87,06:57:00,17:54:00
